,Properties,frequency
557,Cationic Conductivity,7
2768,Hydrogen diffusion coefficient,7
7838,Order,7
3915,Cryogenic Yield Strength,7
8149,Processing Efficiency,7
5002,Ferromagnetic to Paramagnetic Transformation Temperature,7
4957,Eutectic Structure,7
5680,Work-Hardening Capability,7
2721,Bubble Density,7
7413,Body-Centred Tetragonal Structure,7
905,Magnetic Remanence,7
1315,Loss Factor,7
4943,Elastic Stiffness,7
3944,Glassy Structure,7
259,High-temperature Performance,7
264,Fretting Wear Resistance,7
3863,Domain structure,7
5719,Cold-Rolling,7
281,Recovery,7
8198,Hydrogen-storage Performance,7
5036,Elastic Response,7
4989,Electron-Phonon Coupling,7
8093,Tensile elongation,7
3852,Alloy Strengthening,7
8092,Working Temperature Region,7
8091,Elastocaloric Temperature Change,7
6031, ',7
2550,Tensile Mechanical Properties,7
4075,Reversible Isothermal Entropy Change,7
5961,Surface Smoothness,7
4713,Magnetocrystalline Anisotropy,7
2247,Hall-Petch Relationship,7
820,Hydrogen Content,7
1479,Strain Energy Density,7
7370,B2 Precipitates,7
5950,Crack Propagation Resistance,7
7351,Exchange Coupling,7
1571,Microstructural,7
4579,Thermo-stability,7
1455,Cavity Growth,7
831,Compression Yield Stress,7
1581,Thermal characterization,7
4393,Tensile Fracture Strength,7
390,Nanowear,7
4767,Electrochemical impedance spectroscopy,7
5828,Electrocatalytic Property,7
4566,Nano-mechanical properties,7
1511,Stress Exponent,7
6192,Spallation resistance,7
7417,Hydrogen Mobility,7
7412,Volumetric Hydrogen Density,7
4649,Soft-magnetic,7
2281,Hydrogen Diffusivity,7
7414,Occupied Sites,7
7415,Valence-Electron Concentration,7
7416,Vibrational Density of States,7
2314,Strain Hardening Rates,7
1530,Phase Analysis,7
4582,Reactivity,7
803,Resistance to Deformation,7
430,Fragility Index,7
4594,Surface Oxidation,7
4669,Metallic Conductivity,7
4672,Oxygen vacancies,7
5911,Phase content,7
7957,Functional Fatigue,7
4775,Pores,7
4343,Electronic Structure,7
2478,Defect Migration,7
1391,Oxide Scale,7
4238,Upper Critical Field,7
4844,Extinction Coefficient,7
5770,Absorption energy,7
2160,Compressive mechanical properties,7
5082,Adiabatic Temperature Rise,7
2553,Antiferromagnet,7
2562,Tensile testing,7
2149,Dendrite Structure,7
7522,Ferrimagnet,7
335,Strain hardening exponent,7
2570,Elastocaloric,7
2571,Martensitic Transformation Temperatures,7
1380,Electrocatalytic Capabilities,7
2584,Dissolution Rate,7
1379,Lithium-ion Storage,7
2586,Plastic Anisotropy,7
2530,Shear Yield Strength,7
2172,Nanostructures,7
4273,Nano hardness,7
6082,Structural properties,7
7523,Helimagnet,7
755,Dislocation Activities,7
1607,Binding Energy,7
4339,Specific Yield Stress,7
2483,Passive Ability,7
5812,Stripping Current Density,7
4338,Anelastic Internal Friction,7
749,Phase formation,7
501,Grain Boundary Diffusivity,7
4323,Scale forming,7
2495,Elastic properties,7
6068,Refrigerating Capacity,7
2182,Dendritic structure,7
2179,Erosion Rate,7
4302,Thermal behavior,7
2799,Recrystallization Temperature,7
4653,Intrinsic Activity,7
6566,Rate Capacity,7
8296,BCC Solid Solution Phase,7
1945,Al2O3,7
5245,Power factor,7
3294,Magnetic performance,7
3477,Working Temperature Interval,7
3482,Short-range Ordering,7
8337,Transformation-induced Hardening,7
3492,Oxidization,7
1009,Intermetallics,7
5204,VB2,7
1183,Electromagnetic characteristics,7
1770,Surface Stability,7
1768,Specific yield strength,7
2919,Osteogenic Function,7
1085,Crack Initiation,7
1965,Magnetic Interactions,7
3288,Gibbs Energy,7
3089,Crystallization Peak Temperatures,7
1199,Precipitate Strengthening,7
3091,Magnetic Permeability,7
8309,Breaking Strength,7
3094,Tafel Anode Slope,7
7803,Low Magnetic Susceptibility,7
1977,High Temperature Performance,7
3095,Tafel Cathode Slope,7
8299,Single BCC Solid Solution Phase,7
1095,Dissolution,7
5251,Deformation behavior,7
2936,Dehydrogenation Performance,7
2959,Carbonization,7
1903,Magnetic hysteresis,7
8389,Nano-mechanical behavior,7
3395,Magnetic Entropy Variation,7
3371,Repassivation potential,7
987,Grain Sizes,7
1786,Contact angle,7
1795,Work hardenability,7
5529,Atomic Radius,7
1000,Erosion Wear Resistance,7
7692,Nanoscale Heterogeneity,7
2960,Sulfidation,7
6598,Effective absorption bandwidth,7
6725,Hugoniot Elastic Limit,7
5510,Friction Force,7
5427,Electrocatalyst,7
3058,Corrosive Wear,7
3430,Dendritic Morphology,7
5275,Microstructural Properties,7
2952,Void Nucleation Rate,7
77,Grain Characteristics,7
3303,Dilution Rate,7
3455,Fracture morphology,7
3072,Hydrogen Barrier,7
6596,EMW absorption properties,7
8298,Low Liquidus Temperature,7
1790,Grain Boundary Strength,7
6844,Electronic Interactions,7
6491,EM Properties,7
8432,Serration Dynamics,7
2820,Critical field,7
5579,Electromagnetic properties,7
1842,Vacancy Migration,7
28,Spinodal Decomposition,7
3214,Low Thermal Conductivity,7
2017,Dislocation Velocity,7
5494,Alkaline OER Performance,7
2819,Transition,7
1999,Surface Segregation,7
3638,Ion Release,7
3144,Protective Al2O3 Scale,7
3151,Amorphous phase,7
3262,Specific wear rate,7
5121,Crystallization behavior,7
930,Potential Differences,7
3692,Effective Absorption Bandwidth,7
1214,Hydrogen Solubility,7
3704,Ferrimagnetic,7
3680,Weakening,7
1241,Sluggish Grain Growth,7
3199,Melting Behavior,7
3156,Tensile Tests,7
1832,Impact Strength,7
1225,HDI Strengthening,7
1833,Energy Consumption,7
5611,Oxide Dispersion Strengthening,7
6503,Crystallization Behavior,7
3672,Temperature Coefficient of Resistance,7
1835,Dynamic Impact Properties,7
6868,Ferroelectric,6
4622,Interface Shear Resistance Force,6
2306,Dendritic Microstructure,6
6711,Lattice distortions,6
999,Plasticity Index,6
2311,Superconducting Transition,6
4563,Cyto-compatibility,6
8416,Spalling Resistance,6
3344,Hard,6
364,Undercooling,6
4641,DSS,6
8044,Micromechanical behaviors,6
4312,Creep strength,6
3019,Ferrite Phase,6
7329,Mechanical robustness,6
4315,Interstitials,6
1438,Photocatalytic Activity,6
4319,DBTT,6
3020,Shear Sound Speed,6
3364,Eutectic Reaction,6
3361,Grain Structures,6
3356,Surface Integrity,6
4630,Configuration entropy,6
2484,Protective Capacity,6
4351,Magnetic transitions,6
3032,Anisotropy Ratio,6
6952,Corrosion mechanism,6
998,Elastic Recovery Index,6
4349,RC Value,6
1043,Plastic deformation resistance,6
4380,Solidification Interval,6
3314,Density of States,6
6673,EM properties,6
1017,Ferromagnetic state,6
1084,Strain Localization,6
2396,Surface Topography,6
6813,Wetting Angle,6
5938,High Specific Surface Area,6
1012,Back Stress,6
2383,Polarization resistance,6
1484,Anisotropy index,6
1486,High-rate Capability,6
4542,Solution Strengthening,6
6812,C14_Laves-phase,6
6811,Full Heusler-phase,6
5924,Intrinsic Defects,6
1489,Microbands,6
6810,L12-phase,6
1502,Ablation Resistance,6
2405,Lattice Volume,6
4590,Enthalpy Change,6
7384,Fine Crystal Strengthening,6
1522,Diffusion Barrier Performance,6
3309,Compressive Behavior,6
8451,Tribological behaviors,6
6876,Semiconductive property,6
6809,B2-phase,6
5978,Hydrogen concentration,6
2445,Creep Strain Rate,6
4418,Phonon Softening,6
2437,Void Formation,6
1518,Refrigerating capacity,6
3298,Magnetic Field Induced Entropy Changes,6
3081,Yield Tensile Strength,6
4596,Physical Stability,6
3291,Flow Softening,6
1459,Lifetime,6
4450,Damage Evolution,6
3213,Poor Machinability,6
926,Transmission,6
113,Vacancies,6
6671,Effective bandwidth,6
2713,Cavity Size,6
3645,Microstructural characterization,6
2848,Passive Region,6
7154,Bending Properties,6
8277,Refractive index,6
6506,Crystallite growth,6
3909,Effective Elastic Modulus,6
6507,Elemental segregation,6
8292,Compression Rate,6
3589,HER Performance,6
1303,Transformation temperatures,6
7162,Al Diffusion Coefficient,6
1310,Lubrication Action,6
3563,Ferromagnetic Behavior,6
7067,Oxide Scales,6
6530,Cryogenic Toughness,6
8106,Non-Ferromagnetic,6
2680,Corrosion current,6
8104,Coefficients of thermal expansion,6
2674,Oxidation Behaviour,6
6531,Stack Fault Energy,6
8103,Non-ferromagnetic,6
6254,Rhombohedral,6
3526,Texture Strength,6
8151,Strength-Ductility Balance,6
2714,Cavity Density,6
7328,Mass transport,6
3890,Electron Transfer,6
2795,Hot Hardness,6
2815,Monovacancies,6
1240,Orthogonal Structure,6
2791,Softening Mechanism,6
186,Bulk Hardness,6
3763,Hydrogenation Kinetics,6
6409,Soft Magnetic,6
3694,Magnetic Loss,6
6459,Uniform elongation,6
6337,Work-Hardening Exponent,6
3849,Kink Bands,6
6481,Crystalline Phases,6
2747,FCC Solid Solution Strengthening,6
7134,Peak Potential,6
236,Cr2O3,6
3667,Frictional Wear,6
3874,Phase Fraction,6
3875,Phase Fractions,6
3661,Volumetric Swelling,6
7144,Spin-Glass Ground State,6
3889,Metallic,6
8265,Tensile Anisotropy,6
8268,Dendrite Growth,6
7059,Elastic Storage Modulus,6
1326,Electrocatalytic Properties,6
3510,Scratch Hardness,6
6567,Valence States,6
4189,Orowan Strengthening,6
848,Nanotwinning,6
2554,N el Temperature,6
923,Li+ Transport Channels,6
1156,Maximum magnetic flux density,6
4202,Homogeneous Deformation,6
1401,Residual magnetization,6
6124,Self-corrosion potential,6
2969,Corrosion property,6
4232,Impact Energy Absorption Density,6
6121,Microstructural Refinement,6
8353,Frictional Wear Weight Loss,6
2537,Cycle Life,6
2973,Load-displacement curves,6
2978,Solid-solution,6
1137,Hydrogen sorption performance,6
6091,Corrosive Resistance,6
983,Wear morphology,6
6669,Impedance adaptation,6
6083,Phase Constituents,6
6670,Electromagnetic wave absorption,6
7326,OER performances,6
3381,Twin Boundary Density,6
1393,Oxidative Wear,6
1157,Initial permeability,6
7305,Hard magnetic alloy,6
4076,Low Strain,6
2922,Cell Compatibility,6
6243,Amorphous-forming ability,6
3483,Atomic Segregation,6
6236,Glass forming ability,6
8082,Crystallographic features,6
1182,Antioxidant capabilities,6
3473,Compressive Strain to Failure,6
3472,Nanoscale Precipitates,6
4074,Low Thermal Hysteresis,6
2619,Isothermal entropy change,6
4078,Strengthening mechanisms,6
2569,Concentration,6
6194,Covalent Features,6
6180,Swelling Resistance,6
1376,Oxidation behavior,6
1169,Crystal System,6
1168,Space Groups,6
4143,Nucleation Rate,6
3436,Mn Segregation,6
4152,Self-Interstitial Formation Energy,6
1385,Core Loss,6
1166,Single Phase Formation,6
2725,Distribution,6
1826,Defect Production,6
3171,Grain Boundary Migration,6
748,S.S.,6
4773,Thermodynamic Parameters,6
2213,Activation,6
7508,Compressive performance,6
5561,Low Temperature Specific Heat,6
7805,Removal Torque,6
4804,Oxide Layers,6
1758,Fracture Surface,6
2193,Engineering strain,6
5562,LTSH,6
5567,Deformation Products,6
7760,Hall Measurement,6
730,Critical parameter,6
5578,Electromagnetic-wave Absorption Capability,6
5585,Critical Exponent,6
729,Root mean square residual strain,6
1743,Grain Boundary Sliding,6
4827,Isothermal entropy changes,6
5602,Hardening Behavior,6
2008,Degradation Resistance,6
580,Solid-Solution Hardening,6
5553,Cohesive energy,6
5180,Shock Strength,6
1587,Compressive Performance,6
5183,Glassy,6
7462,EMA Properties,6
5379,C15 Laves,6
1563,Fatigue Crack Propagation,6
5376,Low thermal neutron cross-section,6
7766,Oxide Film Resistance,6
5518,Shear Transformation Zone,6
7938,Thermal Fatigue Life,6
7782,Peak Entropy,6
1787,Radiation Hardness,6
5319,Lattice Cohesion,6
5312,Magnetic permeability,6
1780,Hydrophobic,6
7789,Electronegativity Mismatch,6
5241,Effective Permeability,6
1576,Work-Hardening Ability,6
5547,Compressive response,6
5548,Wear characteristics,6
3169,Superlattice Structures,6
1964,Dendritic Microstructures,6
7614,Atomic Radii,6
2176,Sluggish diffusion effect,6
2014,Dislocation Dynamics,6
1703,Shear Yield Stress,6
1645,Average atomic weight,6
529,Compression Testing,6
4990,Electronic Specific Heat,6
712,Spectral selectivity,6
4985,Crystallographic Texture,6
1648,Pauling's electronegativity,6
4952,Undercoolability,6
699,Maximum Strength,6
1649,Allen's electronegativity,6
1650,Itinerant number of electrons,6
2126,Lattice distortion effect,6
4939,GB Segregation,6
4930,Shear Banding,6
5722,High-Temperature Grain Growth Resistance,6
4890,Macro Hardness,6
7576,Carrier Thermal Conductivity,6
1655,Electrochemical Impedance Spectroscopy,6
4902,Thermal Radiation Shielding Performance,6
1651,Atomic size,6
5026,Passive Film Properties,6
5033,Coke Formation,6
577,Strain Hardenability,6
7840,Selective Corrosion,6
728,d-orbital energy level parameter,6
5616,Seebeck,6
4842,Generalized Stacking-Fault Energy,6
5771,Strain hardening rate,6
5640,Thermophysical Properties,6
1717,Hall Effect,6
5646,Metamagnetic Transition,6
5069,Stress Intensity Factor,6
5044,Effective Magnetic Moment,6
4848,Thermal Emittance,6
5766,Cyclic Stress,6
7542,Saturation induction,6
7899,Magnetic Transition Temperature Range,6
7543,Power loss,6
4853,RMS Roughness,6
692,Absorption Rate,6
2044,Tolerance,6
5034,Mass Transfer Efficiency,6
2142,Plastic Work,6
5515,Wear mechanism,6
5181,Dislocation Defects,6
4674,Loss,6
4659,Electron transfer,6
1807,Plastic Flow,6
796,von Mises Stress,6
2255,Maximum Magnetic Entropy Change,6
2257,Atomic Mobility,6
441,CSRO,6
7448,Particle Strengthening,6
5880,Plastic Elongation,6
1836,Fragmentation Properties,6
651,Lamellar,6
7754,MT Temperature,6
4684,Anti-bacterial Properties,6
1557,Surface composition,6
4681,Dynamic Heterogeneity,6
4682,Diffusion Mechanism,6
7460,Electromagnetic Absorption,6
4720,Reversible Storage Capacity,6
4680,Dynamic Properties,6
4657,Active Surface,6
1805,Dislocation Structure,6
4668,Mass Transfer,6
1895,Shear strain,6
2016,Twin Energy,5
2767,Surface activity,5
3098,Standard Enthalpy,5
2774,Plastic Fracture,5
3278,Strength Retention,5
3101,Inclusions,5
6804,Enthalpy change,5
3805,Trapping binding energy,5
3809,Rct,5
7120,S,5
2041,Voltage,5
3275,Grain Boundary Misorientation,5
195,Secondary Phases,5
3815,Magnetic-field-induced Entropy Change,5
3817,Micro-compressive Plasticity,5
6379,Solid solution formation tendency,5
219,Hot Formability,5
2761,C44,5
2816,Vacancy Formation Enthalpy,5
1074,Dendrites,5
50,EL,5
3267,Structural Parameters,5
1068,Plateau pressure,5
206,Percentage Elongation,5
6419,Vortex pinning,5
2035,Charge Transfer Rate,5
5077,Damping properties,5
7105,Dynamic Shear Properties,5
2810,Passive film growth,5
6429,Irreversible Field,5
2821,Polycrystalline Elastic Moduli,5
3709,Wear loss,5
6424,Electron-boson coupling,5
5455,Wavy Slip,5
6423,Lower Critical Magnetic Field,5
3725,Specific Heat Coefficient,5
3726,AC Susceptibility,5
3744,Mechanical Twins,5
1812,Dynamic Disorder,5
7732,Threshold Stress Intensity Factor Range,5
6371,Hardness (Vickers),5
6421,Residual Resistivity Ratio,5
6803,Activation property,5
7731,Threshold Stress Range,5
3751,E,5
2029,Reaction Rate,5
5085,Potential Energy,5
6430,Kadowaki-Woods Ratio,5
3762,Tribological Property,5
5456,Erosion Behavior,5
85,Intermetallic phases,5
2759,C11,5
1839,Vacancy Concentration,5
2076,Bio-Corrosion Resistance,5
5475,Compressive Deformation,5
3916,Lattice Elastic Strain Energy,5
3917,Atomic Size Differences,5
2701,Metastable Phases,5
4959,Fracture Strains,5
6877,In-situ Precipitates,5
1313,Atomic Diffusion,5
7707,Microstructure features,5
3153,Anisotropic Elastic Properties,5
2086,Low Temperature Metal Hydride,5
4942,Compressive Stress-Strain,5
3960,Thermomechanical Properties,5
6278,Displacement Energies,5
6268,Hot Deformation,5
7176,Corrosion Current,5
7854,Relative Permittivity,5
2679,Friction factor,5
276,Phase Coexistence,5
4932,Defect Dynamics,5
3154,Total Density,5
2669,Thermal Behaviours,5
3155,Partial Density of States,5
3159,Plastic Deformation Mechanism,5
8459,Osseointegration,5
1033,Magnetic Phase Separation,5
8460,Blood Compatibility,5
1838,Superplastic Deformation,5
3901,Cluster Size,5
5501,Interfacial reaction,5
4996,Corrosion behaviour,5
3244,Microstructural Homogeneity,5
3231,Good Damping Properties,5
6321,High-Temperature Performance Stability,5
5115,Linear Expansion Coefficient,5
3230,High Fatigue Resistance,5
2742,Self-diffusion,5
6317,Adiabatic temperature change,5
6878,High-Dislocation Density,5
3126, -phase structure,5
5669,Strain-to-failure,5
3128,Ion Transport,5
5025,Pitting corrosion resistance,5
8194,Borosiliciding Behavior,5
3878,Frictional Coefficient,5
3215,Low Young's Modulus,5
5014,H-H Distance,5
1297,Chemical Ordering,5
5678,Passivation film,5
3212,Low Coefficient of Thermal Expansion,5
3887,High Entropy,5
2720,Energy Barrier,5
2061,B_s,5
2062,H_c,5
2715,Helium Bubble Formation,5
2063, _e,5
2064,Melting Enthalpy,5
5691,Ferromagnetic Properties,5
6318,Magnetoelastic coupling,5
7099,Glass Formability,5
2826,Stress Relaxation,5
661,Fluidity,5
624,Compression Stress,5
2967,Intrinsic Strength,5
112,Hydrogen Storage Properties,5
997,Plastic Energy,5
7002,Bulk Elastic Modulus,5
610,Erosion resistance,5
5299,Damage Resistance,5
5533,Cost-effective,5
5282,Charpy Impact Energy,5
605,Field-induced ferromagnetic characteristics,5
604,Low-temperature magnetic transition,5
5267,Metamagnetic Transformation,5
1889,USF Energy,5
2946,Phase Equilibria,5
3461,Dynamic Compression Properties,5
3466,Tool Wear,5
2941,Transverse Strength,5
603,High configuration entropy,5
2938,Ultimate compressive strength,5
5253,Metastable,5
5246,Thermoelectric properties,5
5243,Valence states,5
5543,Wear debris,5
7788,Mean-Square Atomic Displacements,5
5511,Oxidation Wear Resistance,5
5423,Temperature Coefficients of Expansion,5
599,Enthalpies,5
1152,Flux density,5
6982,EMA Performance,5
6600,Bonding Properties,5
6674,Microwave absorption,5
3018,Brittle Failure,5
3362,Solidification Phase,5
3017,EOS,5
6971,Free Volume Content,5
3366,Primary passivation potential,5
3367,Secondary passivation potential,5
1791,Hydrogen embrittlement susceptibility,5
3009,FWHM,5
1902,Magnetostructural,5
3359,Oxide Films,5
6970,Nanoscratch Resistance,5
8398,Normal Force,5
3377,Self-lubrication,5
2977,L12 phase,5
6956,Specific Fracture Strength,5
2998,Soft magnetic behavior,5
1891,USF Energies,5
3403,Plateau Hysteresis,5
7775, '' Phase Stability,5
1913,Lamellar structures,5
5358,Energy Landscapes,5
5349,Bandgap,5
982,Maximum Hydrogen Absorption Capacity,5
981,Saturation Rate,5
6613,Magnetic Behaviour,5
3350,Dielectric Constants,5
5424,Thermal Reactions,5
3319,Surface Appearance,5
931,Peak Area,5
1962,Single-phase solid solution,5
1809,Atomic Displacement Parameter,5
671,Erosion-Corrosion Resistance,5
8424,Compressive Test,5
8430,Elastic-energy Density,5
1866,Metamagnetic Transition Temperature,5
8290,Cracking behavior,5
5445,Ac susceptibility,5
3082,Compressive Yield Strengths,5
3083,Precipitation-Strengthening Effects,5
7806,Antibacterial property,5
8281,Ion Profiles,5
6495,Lattice Friction,5
7807,Cell cytotoxicity,5
3634,Defect Evolution,5
3637,Elastic Limit,5
5138,Thermal Effect,5
5571,C15 Laves phase,5
5446,Domain wall pinning,5
5447,Magnetocaloric performance,5
5133,Hydrogen Evolution Performance,5
7733,Crack-Growth Rate,5
1810,Mean Square Atomic Displacement,5
1228,Grain Diameter,5
7096,Film Stress,5
5128,Rockwell Hardness,5
3022,Phase Coarsening,5
1811,Static Disorder,5
7087,Resistance to Hydrogen Embrittlement,5
2872,HDI Hardening,5
6724,Dislocation Production,5
6234,Elastocaloric Properties,5
592,Anti-friction,5
3318,Dewetting,5
8334,Oxidation Conditions,5
145,Morphological,5
3506,Wetting Behavior,5
3515,Strain-to-Failure,5
6563,Open Porosity,5
7058,Damping Capability,5
7061,Structural Relaxation,5
8333,High-Temperature Softening,5
3525,Slip Bands,5
628,Nitrogen Content,5
8417,Diffusion Inhibition,5
3567,Hot Processing Performance,5
6549,Saturation Grain Size,5
8314,Antiferromagnetic State,5
7066,Interfacial Microstructure,5
1972,Single-phase Solid Solution,5
3547,Intermetallic phase,5
1973,Entropy of Mixing,5
76,Salt Corrosion Resistance,5
8418,Nitridation,5
6525,Fatigue Threshold,5
7071,Molar Volume Change,5
1979,High temperature,5
5175,Electrochemical Behaviour,5
4014,Quasi-static compression,5
2728,Thermal softening,5
8024,Phase-transition Properties,5
1387,High Temperature Magnetic Stability,5
2259,Loss Modulus,5
7301,Precipitate Hardening,5
324,Oxidation kinetics,5
4502,Barrier Strength,5
6138,Electrochemical Surface Area,5
1394,Delamination Wear,5
1564,Strain Amplitude,5
1611,Strain Rate Hardening,5
2352,Homogeneous Microstructure,5
6126,Energy Gap,5
7903,Photo-Fenton Performance,5
1553,Cavitation Erosion,5
1562,Planar-Slip Ability,5
5849,MOR Peak Current Density,5
414,Cycling Reliability,5
2490,Fine grain strengthening,5
2156,Wear Behaviour,5
6022,Electrochemical Measurements,5
4589,Activation Time,5
2552,Ferromagnet,5
2342,Hydrogen Desorption Rate,5
2592,Compressive stress,5
4609,Energy density,5
8025,Sample Morphology,5
6175,SFT Formation,5
1375,Sigma,5
526,Fracture Stress,5
4139,Zener Anisotropy,5
4828,Fatigue Crack Growth,5
2583,Interfacial Energies,5
2140,Reaction Activity,5
368,Deformation mechanisms,5
2408,Hydrogenation Entropy,5
8077,A2/B2 Transition,5
2268,Magneto-transport,5
4593,Zeta Potential,5
323,Mass gains,5
2407,Hydrogenation Enthalpy,5
8026,Component Segregation,5
4700,Thermal robustness,5
4371,Electrochemical Corrosion Resistance,5
2188,Columnar,5
8057,Ductile Plasticity,5
4838,Hard Magnetic Properties,5
6085,Dendrite Microstructure,5
7988,Hardening Fraction,5
727,Geometrical parameter,5
4277,Packing Degree,5
2505,Uniform Strain,5
6069,Cooling Efficiency,5
2508,Vacancy Clusters,5
360,Serrated Plastic Flow,5
6080,Dynamic Compression,5
4283,Mechanical stability,5
4285,Damping capacity,5
4539,Fine-grained Structure,5
7327,OER Kinetic,5
7979,Blisters,5
4292,High Strain Hardening,5
2379,Critical Parameters,5
2168,Comprehensive Mechanical Properties,5
2361,Martensitic transition,5
504,Polymorphic Structure,5
2393,Anticorrosion Performance,5
4575,Intrinsic Coercivity,5
4208,Coercive Fields,5
7959,Low Applied Stresses,5
4725,Conversion,5
5769,Absorption Energy,5
1482,Isotropic,5
4520,Double-layer capacitance,5
4530,Hydrogen Absorption Kinetic Property,5
2386,Electrochemical impedance,5
415,Electrochemical Kinetics,5
4531,Ultrahigh Strength,5
846,Catalytic Efficiency,5
4841,Elastic Anisotropic,5
6104,Grain Size Refinement,5
6060,Defect Size,5
2498,Critical Behavior,5
5907,Radiation-induced Damage,5
2139,Decoloration Rate,5
6001,Fretting Resistance,5
4614,Fine-grain Strengthening,5
784,Zener Anisotropy Ratio,5
537,Energy Product,5
1349,Coarsening Kinetics,5
4415,Dmax,5
2627,Grain boundary strengthening,5
4410,Ignition Behavior,5
2626,Bulk Sound Speed,5
4409,Dilatational Strain,5
4479,Insulator,5
8007,Plastic-Strain Limit,5
5962,Bonding strength,5
2129,Adsorption Energy,5
5992,Lattice Spacing,5
4665,Ion Transport Space,5
2455,Carbide Precipitates,5
2312,Robustness,5
2631,Magnetotransport,5
2632,Electrical Transition Temperature,5
2633,Magnetoresistance Ratio,5
2282,Hydrogen content,5
7468,Surface wettability,5
4443,Atomic Radius Difference,5
8080,Thermal Vacancy Concentrations,5
1539,Impedance spectroscopy,5
6233,Local Magnetic Moments,5
2229,Methane Selectivity,5
4733,Rock salt structure,5
8013,Primary Passivation Potential,5
2427,Compositions,5
4433,Mechanical Nano-twins,5
7253,Cdl,5
4640,Compound,5
4432,Decomposition Temperature,5
4061,Elastoplasticity,5
6232,Wigner Seitz Radius,5
4386,Ion release,5
2514,High Melting Point,5
4487,HER Overpotential,5
5872,Phase stabilities,5
4120,Detection Limit,5
7553,Corroded Morphologies,5
2600,Elongation to failure,5
4094,Long-term Stability,5
2459,Chemical states,5
2215,Bauschinger Effect,5
6193,Antifouling properties,5
6212,Methanol Tolerance,5
802,Subsurface Damage,5
4385,Recovery Modulus,5
4761,Antibacterial ability,5
4117,Solid-solution tendency,5
6188,Dynamic Shear Strength,5
389,Nanoscratch,5
2465,Cracking Resistance,5
5531,Orientational Ordering,4
4722,Electrical Transport,4
4448,Crystallographic orientation,4
7989,Na Storage Capability,4
7010,Phase Interfaces,4
5971,Harder,4
7991,Electrochemical Performances,4
8367,Abrasive wear,4
7025,Neutron absorption,4
5354,Solute Strengthening,4
5846,Electron Conductivity,4
3422,Bcc Solid Solution,4
6667,Nanocrystallines,4
6656,Free energy,4
6615,Migration,4
5972,Stronger,4
7030,Transition Entropy,4
5410,Physicochemical Property,4
8017,Ultimate Elongation,4
6635,Interfacial Bonding Properties,4
4488,Hardening Capacity,4
5963,C14 Phase,4
3380,Grain Growth Rate,4
5348,Light Absorbance,4
3369,Passive region width,4
5371,Linear attenuation coefficient,4
7342,Raman Spectra,4
4480,Metal-Insulator Transition,4
6983,Electromagnetic Performances,4
5959,Impact-resistance,4
4505,Interfacial Adhesion,4
7333,P content,4
3373,Anodic current density,4
5520,Bio-compatibility,4
7937,Operating Temperature,4
8392,Change of Entropy,4
3370,Protection potential,4
4477,Structural Change,4
7330,Structure stability,4
5359,Irradiation Behavior,4
6972,Neutron Absorption,4
7769,Strengthening Phase,4
7682,Electrochemical measurements,4
4475,Mechanical Plasticity,4
7331,NiOOH,4
5960,Energy absorption,4
4486,Distortions,4
4723,Strengthening Potency,4
7785,Antioxidant Performance,4
7990,Rate Property,4
5397,Cooling Temperature Difference,4
6988,Solid Solution Phases,4
6714,Recrystallization fraction,4
6683,Absorption bandwidth,4
6838,Remanence Ratio,4
6831,Attenuation Ability,4
3220,Low-Cycle Fatigue,4
3223,Yield Strength Anisotropy,4
3224,Crystallographic Anisotropy,4
6830,Magnetic Losses,4
8431,Yielding Strengths,4
4612,Morphological stability,4
4611,Capacitance retention,4
5892,Interfacial Bonding Property,4
3232,Thermal fatigue,4
3240,Strain Recovery,4
6829,Dielectric Losses,4
3255,Glass transition,4
5897,Solid-solution strength,4
6886,High Rate Dischargeability,4
6903,Dynamic Strength,4
3258,Dehydrogenation Activation Energy,4
5464,Surface reaction exchange current,4
5463,High-rate dischargeability,4
5462,Electrochemical full capacity,4
4610,Inductive effect,4
5461,Reversible hydrogen storage,4
4666,Chemical stability,4
3272,Quality,4
4607,Contact resistance,4
6834,Radiopacity,4
6843,Crystalline amorphous,4
5460,PCT plateau pressure,4
5481,Ferrimagnetic-type Ordering,4
4654,HER Properties,4
4651,Stress Amplitude,4
7953,Metastable Austenite,4
3190,Compression Deformability,4
3193,Structural Evolution,4
5469,Cycle life performance,4
3203,Charge transfer,4
5474,Compressive deformation,4
4658,Mass Transfer Paths,4
4643,Cr-rich Phase,4
4662,OER properties,4
4627,Nano-Twinning,4
8454,Cr-rich Carbides,4
5467,Low temperature performance,4
8441,Initial contact pressure,4
5882,Complex Modulus,4
4618,Work Hardening Rates,4
4617,Intergranular Plastic Compatibility,4
4616,Cracking Sensitivity,4
5466,Specific power,4
6853,Magnetic Inhomogeneity,4
3211,Mechanical Properties at Elevated Temperatures,4
4615,Twinning Strengthening,4
5480,Antiferromagnetic Ground State,4
5465,Bulk hydrogen diffusion,4
5867,Pop-in Behavior,4
4605,Ionic diffusion mobility,4
8412,Covalent-like Bonding,4
3308,Compressive yield stress,4
5430,High entropy alloy,4
7972,Pitting corrosion,4
7675,Cycle Lives,4
6713,Phase Transition Enthalpy,4
6712,Volumetric Energy Storage Capacity,4
3337,Oxygen Evolution Activity,4
3338,Oxygen evolution,4
7382,Ultrafine-grained,4
3341,Damage-Tolerance,4
